"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"1","Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,1,4,4,4,"richness"
"2","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,7,3.14285714285714,3,3.14285714285714,"richness"
"3","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,4.93103448275862,5,4.93103448275862,"richness"
"4","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,91,2.9010989010989,3,2.8695652173913,"richness"
"5","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,197,3.75634517766497,4,3.75634517766497,"richness"
"6","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,30,3.33333333333333,3,3.33333333333333,"richness"
"7","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,23,3,3,3,"richness"
"8","E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,6,6,2.83333333333333,3,2.83333333333333,"richness"
"9","E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,1,1,2,2,2,"richness"
"10","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,9,3.11111111111111,3,2.54545454545455,"richness"
"11","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,40,2.875,3,2.875,"richness"
"12","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,25,22,2.5,2,2.2,"richness"
"14","L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,10,10,2.5,3,2.5,"richness"
"15","L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,58,52,3.17307692307692,3,2.8448275862069,"richness"
"16","L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,160,158,1.81012658227848,2,1.7875,"richness"
"17","L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,25,25,3.04,3,3.04,"richness"
"18","L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,13,13,2.69230769230769,2,2.69230769230769,"richness"
"19","L.Stuart",2011,1679,2009,"SR_cov_resid",0.191652182985228,6,6,2.83333333333333,2.5,2.83333333333333,"richness"
"20","L.Stuart",2012,1680,2010,"SR_cov_resid",-0.319192535759027,1,1,2,2,2,"richness"
"21","L.Stuart",2015,1683,2013,"SR_cov_resid",-0.366438470616542,29,27,2.81481481481481,3,2.62068965517241,"richness"
"22","Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,1,3,3,3,"richness"
"23","Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,1,1,1,1,1,"richness"
"24","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,11,2.45454545454545,3,0.9,"richness"
"25","Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,5,5,2,2,2,"richness"
"26","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,29,2.68965517241379,2,2.6,"richness"
"27","Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,1,1,5,5,5,"richness"
"28","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,25,3.4,3,3.4,"richness"
"29","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,95,3.28421052631579,3,3.28421052631579,"richness"
"30","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,52,44,3.27272727272727,3,2.76923076923077,"richness"
"31","Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,1,1,2,2,2,"richness"
"32","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,16,3.125,3,3.125,"richness"
"33","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,28,2.5,2.5,2.41379310344828,"richness"
"34","Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,4,4,3.25,3.5,3.25,"richness"
"35","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,22,2.04545454545455,2,2.04545454545455,"richness"
"36","Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,1,1,1,1,1,"richness"
"37","Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,19,15,3.46666666666667,3,2.73684210526316,"richness"
"38","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,19,2.47368421052632,2,2.47368421052632,"richness"
"39","Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,2,2.5,2.5,2.5,"richness"
"40","Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,6,6,1.5,1.5,1.5,"richness"
"41","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,44,2.52272727272727,2,2.36170212765957,"richness"
"42","Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,20,17,3.17647058823529,3,2.7,"richness"
"43","Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,1,1,3,3,3,"richness"
"44","Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,26,25,3.32,3,3.19230769230769,"richness"
"45","Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,1,0.00628279493030075,0.00628279493030075,0.00628279493030075,"rib"
"46","Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,7,0.21002671665961,0.0127060797923236,0.21002671665961,"rib"
"47","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,0.202268946405067,0.0252344743114084,0.202268946405067,"rib"
